nuevocodigo,eliminar,id,alterno,alterno2,descripcion,sustancia,unidad,gramaje,presentacion,plista,dctoprov,arancel,mcom,madm,costoreal,m1,m2,m3,p1,p2,p3,familia,nombrefamilia,clase,nombreclase,linea,nombrelinea,fecha,alta,impuesto,m4,m5,m6,p4,p5,p6,entero,autocant,minimo,maximo,imagen,existencia,ultcompra,ultventa,proveedor,nombre
,,320-108-1778448,108-1778448,27112800,BROCA DE 1/4 ALTA VELOCIDAD IRWIN,,PZA,4,PZA,26.85,16.37,0.00,0.00,0.00,26.85,23.00,20.00,18.00,40.44,38.93,37.98,3,HERRAJES,14,HERRAJES,73,BROCAS,04-12-25,4/23/2025,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,320-60716,0.00,,02-03-26,3,"CASA FERNANDEZ DEL SURESTE, S.A. DE C.V."
,,320-108-1778360,108-1778360,27112800,BROCA DE 1/8 ALTA VELOCIDAD IRWIN,,PZA,4,PZA,11.29,16.37,0.00,0.00,0.00,11.29,23.00,20.00,18.00,17.01,16.37,15.97,3,HERRAJES,14,HERRAJES,73,BROCAS,1/21/2026,02-04-25,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,320-60708,0.00,,11-03-26,3,"CASA FERNANDEZ DEL SURESTE, S.A. DE C.V."
,,320-108-1778452,108-1778452,27112800,BROCA DE 5/16 ALTA VELOCIDAD IRWIN,,PZA,4,PZA,42.65,16.37,0.00,0.00,0.00,42.65,22.00,20.00,18.00,63.43,61.84,60.34,3,HERRAJES,14,HERRAJES,73,BROCAS,1/21/2026,09-04-25,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,320-60720,0.00,,02-03-26,3,"CASA FERNANDEZ DEL SURESTE, S.A. DE C.V."
,,320-108-1778442,108-1778442,27112800,BROCA DE 5/32 ALTA VELOCIDAD IRWIN,,PZA,4,PZA,15.30,16.37,0.00,0.00,0.00,15.30,22.00,20.00,18.00,22.76,22.19,21.65,3,HERRAJES,14,HERRAJES,73,BROCAS,1/21/2026,02-04-25,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,320-60710,0.00,,10-03-26,3,"CASA FERNANDEZ DEL SURESTE, S.A. DE C.V."
,,320-108-1778441,108-1778441,27112800,BROCA DE 9/64 ALTA VELOCIDAD IRWIN,,PZA,4,PZA,12.96,16.37,0.00,0.00,0.00,12.96,24.00,20.00,18.00,19.79,18.80,18.34,3,HERRAJES,14,HERRAJES,73,BROCAS,2/13/2026,08-04-25,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,320-108-1778441,0.00,,05-03-26,3,"CASA FERNANDEZ DEL SURESTE, S.A. DE C.V."
,,320-106B-2608550606,106B-2608550606,27111540,"BROCA DE DIAMANTE 15/64 P/CRISTAL, BOSCH 6 MM",,PZA,4,PZA,590.38,16.37,0.00,0.00,0.00,493.73,17.00,15.00,15.00,690.04,673.80,673.80,3,HERRAJES,14,HERRAJES,84,HERRAJE P/VIDRIO,10/31/2024,3/21/2015,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,320-2608587162,0.00,,,3,"CASA FERNANDEZ DEL SURESTE, S.A. DE C.V."
,,320-106B-2608550609,106B-2608550609,27111540,"BROCA DE DIAMANTE 3/8 P/CRISTAL, BOSCH 10 MM",,PZA,4,PZA,719.55,16.37,0.00,0.00,0.00,601.76,17.00,15.00,15.00,841.01,821.23,821.23,3,HERRAJES,14,HERRAJES,84,HERRAJE P/VIDRIO,10/31/2024,3/13/2018,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,320-106B-2608550609,0.00,,,3,"CASA FERNANDEZ DEL SURESTE, S.A. DE C.V."
,,320-106B-2608901460,106B-2608901460,1010101,BROCA MULTICONSTRUCCION  HEXAGONAL 1/4 LARGA BOSCH CONCRETO/ALUMINIO,,PZA,4,PZA,65.65,16.37,0.00,0.00,0.00,65.65,22.00,20.00,18.00,97.63,95.19,92.87,3,HERRAJES,14,HERRAJES,39,HERRAMIENTAS,04-12-25,04-04-25,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,320-106B-2608588076,0.00,,2/26/2026,3,"CASA FERNANDEZ DEL SURESTE, S.A. DE C.V."
,,320-108-IW9051,108-IW9051,23242104,"BROCA P/CONCRETO LARGA 1/4 X 6"" CARBURO TUGSTENO  IRWIN",,PZA,4,PZA,33.03,16.37,0.00,0.00,0.00,33.03,20.00,20.00,20.00,47.90,47.90,47.90,3,HERRAJES,14,HERRAJES,73,BROCAS,04-12-25,08-04-25,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,320-008868,0.00,,05-03-26,3,"CASA FERNANDEZ DEL SURESTE, S.A. DE C.V."
,,320-106B-2608585440,106B-2608585440,20121613,"BROCA P/METAL HSS-G 1/8"" BOSCH",,PZA,4,PZA,11.20,16.37,0.00,0.00,0.00,11.20,27.00,25.00,25.00,17.80,17.33,17.33,3,HERRAJES,14,HERRAJES,73,BROCAS,2/13/2026,4/23/2025,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,320-2608585440-1,0.00,,06-03-26,3,"CASA FERNANDEZ DEL SURESTE, S.A. DE C.V."
